NEAREST OBJECT: [0.1532230315920694, -0.34942754819394556]
NEAREST OBJECT: [0.14212557077487106, -0.34095557593036674]
NEAREST OBJECT: [0.13854114463250375, -0.3406299230600006]
NEAREST OBJECT: [0.12983629726153043, -0.34634768278596306]
NEAREST OBJECT: [0.12713026452603268, -0.3566879793642185]
NEAREST OBJECT: [0.1347085662923802, -0.36415055868583496]
NEAREST OBJECT: [0.13870557211881307, -0.36590480955537796]
NEAREST OBJECT: [0.14234737496988104, -0.36223577168077964]
NEAREST OBJECT: [0.130991598192977, -0.3413817436203871]
NEAREST OBJECT: [0.13224108284530933, -0.3416373442326899]
NEAREST OBJECT: [0.134900731360787, -0.3675824144824599]
NEAREST OBJECT: [0.13466145495613419, -0.3697817429113897]
NEAREST OBJECT: [0.10993479706167716, -0.384323203971791]
NEAREST OBJECT: [0.02811362916311123, -0.3934535588345835]
NEAREST OBJECT: [-0.008130350971344475, -0.3740799648849273]
NEAREST OBJECT: [-0.02782927597024533, -0.3377790601313951]
NEAREST OBJECT: [-0.028744930272868445, -0.32875417812137897]
NEAREST OBJECT: [-0.030493422892022934, -0.3309616376398512]
NEAREST OBJECT: [-0.022046217784147334, -0.33969329421363187]
NEAREST OBJECT: [-0.009206474031856125, -0.3531730905977843]
NEAREST OBJECT: [0.05496774826692446, -0.3704165055748005]
NEAREST OBJECT: [0.09076652583997126, -0.3677924000046642]
NEAREST OBJECT: [0.08635336212891874, -0.3511598606447004]
NEAREST OBJECT: [0.06841459639020138, -0.349593758030184]
NEAREST OBJECT: [0.0870223831498845, -0.3465922153390192]
NEAREST OBJECT: [0.11529462154654867, -0.3423871529908454]
NEAREST OBJECT: [0.12431924473130655, -0.335689434560195]
NEAREST OBJECT: [0.10649459641418606, -0.32539296857725397]
NEAREST OBJECT: [0.08633386114475737, -0.3241016718763526]
NEAREST OBJECT: [0.09004453149982025, -0.32566337797988537]
NEAREST OBJECT: [0.09972228124592604, -0.3307840831405354]
NEAREST OBJECT: [0.09233980939891241, -0.3322520973097303]
NEAREST OBJECT: [0.07396920793786683, -0.32712634333477864]
NEAREST OBJECT: [0.08121045658154064, -0.3222971098436911]
NEAREST OBJECT: [0.07782576642594449, -0.31919516975986745]
NEAREST OBJECT: [0.08536003542939646, -0.32261656415537754]
NEAREST OBJECT: [0.08804568075389002, -0.33335884759392787]
NEAREST OBJECT: [0.08763211353928503, -0.34383857933993744]
NEAREST OBJECT: [0.09145567462867002, -0.3470719969930365]
NEAREST OBJECT: [0.08956900659538293, -0.34342374286408356]
NEAREST OBJECT: [0.09429138663334383, -0.34880269360073785]
NEAREST OBJECT: [0.09664678464775803, -0.3511554554085843]
NEAREST OBJECT: [0.0948780368989617, -0.34434896847977814]
NEAREST OBJECT: [0.09115127920942534, -0.3500499202186962]
NEAREST OBJECT: [0.08680280376991575, -0.3566322758434715]
NEAREST OBJECT: [0.08449826360369163, -0.3648699788486186]
NEAREST OBJECT: [0.0889660608713887, -0.3628852368500652]
NEAREST OBJECT: [0.09014194908154521, -0.3526173032404155]
NEAREST OBJECT: [0.09141577001854193, -0.3454663230248917]
NEAREST OBJECT: [0.09088788404426519, -0.34735622740302785]
NEAREST OBJECT: [0.08594823685354186, -0.3539449371887063]
NEAREST OBJECT: [0.08757241261209465, -0.3614025924729154]
NEAREST OBJECT: [0.09150432240329541, -0.3538958570386803]
NEAREST OBJECT: [0.09295956818720218, -0.3445939036166021]
NEAREST OBJECT: [0.0951240930696944, -0.3499119767341422]
NEAREST OBJECT: [0.08902977929565375, -0.35502138508396164]
NEAREST OBJECT: [0.08789556097111755, -0.3582314963948509]
NEAREST OBJECT: [0.08660124200758455, -0.3576677180730278]
NEAREST OBJECT: [0.08863711217976034, -0.35578382275345477]
NEAREST OBJECT: [0.09037637512360278, -0.3559980248134708]
NEAREST OBJECT: [0.08956270178065057, -0.35764669806719906]
NEAREST OBJECT: [0.08537937295366091, -0.35201431644191145]
NEAREST OBJECT: [0.08285177840716622, -0.3559132837093918]
NEAREST OBJECT: [0.07865017457469675, -0.3576354334776965]
NEAREST OBJECT: [0.08472574307917764, -0.35266440434984553]
NEAREST OBJECT: [0.08282670615734516, -0.35029106330279214]
NEAREST OBJECT: [0.08026879808165575, -0.35377749522878943]
